country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","09-04-2026 11:00:00",30.719859,76.738637,PM10,10,29,18
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","09-04-2026 11:00:00",30.719859,76.738637,NO2,21,69,40
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","09-04-2026 11:00:00",30.719859,76.738637,CO,32,52,42
India,Bihar,Patna,"Samanpura, Patna - BSPCB","09-04-2026 11:00:00",25.596727,85.085624,PM10,79,140,108
India,Bihar,Patna,"Samanpura, Patna - BSPCB","09-04-2026 11:00:00",25.596727,85.085624,OZONE,23,35,31
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","09-04-2026 11:00:00",25.366336,87.117468,NH3,2,2,2
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","09-04-2026 11:00:00",21.185571,81.343175,SO2,7,11,9
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","09-04-2026 11:00:00",21.224231,81.408350,NH3,4,6,5
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","09-04-2026 11:00:00",21.224231,81.408350,OZONE,5,19,11
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","09-04-2026 11:00:00",25.366336,87.117468,OZONE,19,32,25
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","09-04-2026 11:00:00",25.03280,85.41948,PM2.5,32,83,53
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","09-04-2026 11:00:00",25.599486,85.113666,CO,34,101,54
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","09-04-2026 11:00:00",25.599486,85.113666,OZONE,24,34,30
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","09-04-2026 11:00:00",30.735567,76.775714,PM10,18,103,46
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","09-04-2026 11:00:00",26.2271665,84.3570427,SO2,7,8,7
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","09-04-2026 11:00:00",22.08815,82.13737,CO,12,60,25
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","09-04-2026 11:00:00",28.695381,77.181665,OZONE,9,128,27
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","09-04-2026 11:00:00",28.7256504,77.2011573,CO,12,37,25
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","09-04-2026 11:00:00",28.7256504,77.2011573,OZONE,27,161,34
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","09-04-2026 11:00:00",28.5512005,77.2735737,PM2.5,11,96,54
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","09-04-2026 11:00:00",28.5512005,77.2735737,PM10,59,128,86
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","09-04-2026 11:00:00",28.5512005,77.2735737,NO2,48,102,58
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","09-04-2026 11:00:00",28.5512005,77.2735737,OZONE,22,96,28
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","09-04-2026 11:00:00",21.371751,81.664929,NH3,3,3,3
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","09-04-2026 11:00:00",22.06631475,83.33820077,PM10,20,51,33
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","09-04-2026 11:00:00",22.06631475,83.33820077,NH3,1,3,2
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","09-04-2026 11:00:00",22.06631475,83.33820077,CO,15,44,16
